,pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_bmasse,pl_bmassprov,pl_eqt,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_pubdate,releasedate
1209,HD 108341 b,HD 108341,1,1,Radial Velocity,2014,La Silla Observatory,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,1129,6,-8,,1112.4,Msini,,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,K2 V,5122,0.79,0.84,0.04,[Fe/H],4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h27m31.00s,186.8791724,-71d25m20.96s,-71.4224896,48.9102,9.38,0.03,-0.03,7.326,0.021,-0.021,9.14337,0.000194,-0.000194,2015-04,1/8/2015
1214,HD 108874 b,HD 108874,1,2,Radial Velocity,2002,W. M. Keck Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,394.48123,0.6,-0.6,,451.3186,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5600,1.05,1.1,0.26,[Fe/H],4.44,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h30m27.02s,187.6126029,+22d52m45.98s,22.8794399,59.5175,8.76,0.03,-0.03,7.06,0.024,-0.024,8.57502,0.000319,-0.000319,2017-03,9/6/2018
1221,HD 108874 c,HD 108874,1,2,Radial Velocity,2005,W. M. Keck Observatory,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,1624,23,-23,,314.64,Msini,,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,G5,5551,,0.95,0.19,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h30m27.02s,187.6126029,+22d52m45.98s,22.8794399,59.5175,8.76,0.03,-0.03,7.06,0.024,-0.024,8.57502,0.000319,-0.000319,2009-05,5/14/2014
1225,HD 109246 b,HD 109246,1,1,Radial Velocity,2010,Haute-Provence Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,68.27,0.13,-0.13,,273.3338,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5844,1.07,1.2,0.1,[Fe/H],4.46,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h32m06.52s,188.027184,+74d29m21.62s,74.4893379,67.8349,8.751,0.01,-0.01,7.216,0.023,-0.023,8.5873,0.000258,-0.000258,2017-03,9/6/2018
1227,HD 109271 b,HD 109271,1,2,Radial Velocity,2013,La Silla Observatory,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,7.8543,0.0009,-0.0009,,17.162,Msini,,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,G5 V,5783,,1.05,0.1,[Fe/H],4.28,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h33m35.38s,188.397397,-11d37m17.47s,-11.6215204,55.8716,8.04,0.03,-0.03,6.495,0.026,-0.026,7.87816,0.000289,-0.000289,2013-03,5/14/2014
1228,HD 109271 c,HD 109271,1,2,Radial Velocity,2013,La Silla Observatory,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,30.93,0.02,-0.02,,24.154,Msini,,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,G5 V,5783,,1.05,0.1,[Fe/H],4.28,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h33m35.38s,188.397397,-11d37m17.47s,-11.6215204,55.8716,8.04,0.03,-0.03,6.495,0.026,-0.026,7.87816,0.000289,-0.000289,2013-03,5/14/2014
1229,HD 109286 b,HD 109286,1,1,Radial Velocity,2021,Haute-Provence Observatory,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210705089D/abstract target=ref>Demangeon et al. 2021</a>,520.1,2.3,-2.3,,950.30694,Msini,259,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210705089D/abstract target=ref>Demangeon et al. 2021</a>,G4 V,5694,1.09,0.98,0.05,[Fe/H],4.44,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h33m35.00s,188.3958418,+07d16m51.26s,7.2809064,55.4156,8.78,0.03,-0.03,7.162,0.029,-0.029,8.61599,0.000595,-0.000595,2021-07,7/26/2021
1230,HD 109749 b,HD 109749,1,1,Radial Velocity,2005,W. M. Keck Observatory,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,5.239891,9.90E-05,-9.90E-05,,85.8141,Msini,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G3 V,5824,1.22,1.13,0.24,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h37m16.16s,189.3173489,-40d48m43.72s,-40.8121458,63.0821,8.08,0.03,-0.03,6.678,0.024,-0.024,8.02456,0.000373,-0.000373,2018-11,9/27/2018
1235,HD 110014 b,HD 110014,1,1,Radial Velocity,2009,La Silla Observatory,<a refstr=DE_MEDEIROS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A%26A...504..617D/abstract target=ref> de Medeiros et al. 2009 </a>,835.477,6.04,-6.04,,3524.59,Msini,,<a refstr=DE_MEDEIROS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A%26A...504..617D/abstract target=ref> de Medeiros et al. 2009 </a>,K2 III,4445,20.9,2.17,0.19,[Fe/H],2.1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h39m14.69s,189.8111935,-07d59m44.41s,-7.9956702,100.758,4.64597,0.023,-0.023,2.011,0.312,-0.312,4.31048,0.0037183,-0.0037183,2009-09,5/14/2014
1241,HD 111232 b,HD 111232,1,1,Radial Velocity,2003,La Silla Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1143,14,-14,,2269.3062,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5512,0.9,0.84,-0.43,[Fe/H],4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h48m51.83s,192.2159553,-68d25m28.80s,-68.4246679,28.9571,7.59,0.03,-0.03,5.898,0.033,-0.033,7.40535,0.000225,-0.000225,2017-03,9/6/2018
1245,HD 111998 b,HD 111998,1,1,Radial Velocity,2016,La Silla Observatory,<a refstr=BORGNIET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...599A..57B/abstract target=ref>Borgniet et al. 2017</a>,825.9,6.2,-6.2,,1433.4133,Msini,,<a refstr=BORGNIET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...599A..57B/abstract target=ref>Borgniet et al. 2017</a>,F5 V,6557,1.45,1.18,0.07,[Fe/H],4.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h53m10.88s,193.2953521,-03d33m11.21s,-3.5531133,33.2237,6.11006,0.023,-0.023,4.993,0.023,-0.023,5.99548,0.0005476,-0.0005476,2017-03,9/8/2016
1247,HD 113337 b,HD 113337,1,1,Radial Velocity,2013,Haute-Provence Observatory,<a refstr=BORGNIET_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A..65B/abstract target=ref> Borgniet et al. 2014 </a>,324,1.7,-3.3,,899.42,Msini,,<a refstr=BORGNIET_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A..65B/abstract target=ref> Borgniet et al. 2014 </a>,F6 V,6576.6,1.5,1.4,0.07,[Fe/H],4.21,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h01m46.52s,195.4438496,+63d36m37.18s,63.610328,36.18,6.02078,0.023,-0.023,5.005,0.017,-0.017,5.91168,0.0006867,-0.0006867,2014-01,5/14/2014
1249,HD 113538 b,HD 113538,1,2,Radial Velocity,2010,La Silla Observatory,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,663.2,8.4,-7.4,,114.41,Msini,,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,K9 V,4462,0.53,0.58,-0.24,[Fe/H],3.79,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h04m56.14s,196.233933,-52d26m46.86s,-52.4463502,16.2817,9.05,0.03,-0.03,5.637,0.024,-0.024,8.4428,0.000538,-0.000538,2015-04,1/8/2015
1252,HD 113538 c,HD 113538,1,2,Radial Velocity,2010,La Silla Observatory,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,1818,25,-22,,295.57,Msini,,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,K9 V,4462,0.53,0.58,-0.24,[Fe/H],3.79,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h04m56.14s,196.233933,-52d26m46.86s,-52.4463502,16.2817,9.05,0.03,-0.03,5.637,0.024,-0.024,8.4428,0.000538,-0.000538,2015-04,1/8/2015
1255,HD 114386 b,HD 114386,1,1,Radial Velocity,2003,La Silla Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,937.70001,16,-16,,362.3262,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4836,0.76,0.6,-0.05,[Fe/H],4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h10m39.65s,197.6652124,-35d03m22.25s,-35.0561807,27.9243,8.73,0.03,-0.03,6.351,0.018,-0.018,8.41823,0.000345,-0.000345,2017-03,9/6/2018
1257,HD 114613 b,HD 114613,1,1,Radial Velocity,2014,Anglo-Australian Telescope,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,4000,120,-120,,113.46531,Msini,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5641,2.14,1.27,,,3.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h12m02.68s,198.0111842,-37d48m10.16s,-37.8028236,20.2836,4.85,0.03,-0.03,3.303,0.256,-0.256,4.66174,0.004618,-0.004618,2019-04,12/6/2018
1261,HD 114729 b,HD 114729,1,1,Radial Velocity,2002,W. M. Keck Observatory,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,1121.79,3.53,-3.43,,262.20975,Msini,,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,,5844,1.47,0.94,-0.33,[Fe/H],4.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h12m44.02s,198.1833997,-31d52m28.83s,-31.8746756,37.8063,6.68,0.03,-0.03,5.136,0.023,-0.023,6.51382,0.000322,-0.000322,2018-08,6/27/2019
1264,HD 114762 b,HD 114762,1,1,Radial Velocity,1989,Oak Ridge Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,83.9151,0.003,-0.003,,3397.6027,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5869,1.2,0.8,-0.72,[Fe/H],4.18,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h12m19.11s,198.079631,+17d31m01.65s,17.517124,40.1949,7.3,0.03,-0.03,5.813,0.024,-0.024,7.13955,0.000292,-0.000292,2017-03,9/6/2018
1269,HD 114783 b,HD 114783,1,2,Radial Velocity,2001,W. M. Keck Observatory,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,493.7,1.8,-1.8,,349.6,Msini,,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,K0,5135,,0.85,0.21,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h12m43.64s,198.1818436,-02d15m53.97s,-2.2649921,21.0628,7.56,0.03,-0.03,5.475,0.017,-0.017,7.31783,0.000324,-0.000324,2009-05,5/14/2014
1270,HD 114783 c,HD 114783,1,2,Radial Velocity,2018,W. M. Keck Observatory,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,4319,151,-130,,194.19413,Msini,,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,,,,0.85,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h12m43.64s,198.1818436,-02d15m53.97s,-2.2649921,21.0628,7.56,0.03,-0.03,5.475,0.017,-0.017,7.31783,0.000324,-0.000324,2016-04,11/29/2018
1272,HD 11506 b,HD 11506,1,2,Radial Velocity,2007,W. M. Keck Observatory,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,1622.1,2.1,-2.1,,1535.1189,Msini,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G0 V,6030,1.34,1.24,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h52m50.56s,28.2106607,-19d30m26.63s,-19.507396,51.261,7.51,0.03,-0.03,6.168,0.017,-0.017,7.37382,0.000301,-0.000301,2018-11,9/27/2018
1279,HD 11506 c,HD 11506,1,2,Radial Velocity,2008,W. M. Keck Observatory,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,223.41,0.32,-0.32,,129.67464,Msini,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G0 V,6030,1.34,1.24,0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h52m50.56s,28.2106607,-19d30m26.63s,-19.507396,51.261,7.51,0.03,-0.03,6.168,0.017,-0.017,7.37382,0.000301,-0.000301,2018-11,9/27/2018
1280,HD 115954 b,HD 115954,1,1,Radial Velocity,2021,Haute-Provence Observatory,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210705089D/abstract target=ref>Demangeon et al. 2021</a>,3700,1500,-390,,2634.79749,Msini,145,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210705089D/abstract target=ref>Demangeon et al. 2021</a>,G0 V,5957,1.21,1.18,0.34,[Fe/H],4.15,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h19m56.49s,199.9853694,+38d22m08.90s,38.3691383,87.6437,8.34,0.03,-0.03,6.87,0.02,-0.02,8.18736,0.000238,-0.000238,2021-07,7/26/2021
1288,HD 117207 b,HD 117207,1,1,Radial Velocity,2004,W. M. Keck Observatory,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,2621.75,8.37,-8.53,,612.14058,Msini,,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,,5732,1.07,1.05,0.19,[Fe/H],4.37,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h29m20.85s,202.3368806,-35d34m16.69s,-35.5713041,32.3547,7.26,0.03,-0.03,5.65,0.02,-0.02,7.07737,0.000276,-0.000276,2018-08,6/27/2019
1295,HD 117618 b,HD 117618,1,1,Radial Velocity,2004,Anglo-Australian Telescope,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>,25.8,0.004,-0.004,,55.30242,Msini,,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>,,5990,,1.08,,,4.41,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h32m25.59s,203.1066418,-47d16m18.86s,-47.2719049,37.7781,7.17,0.03,-0.03,5.737,0.021,-0.021,7.0216,0.000279,-0.000279,2019-04,3/14/2019
1296,HD 118203 b,HD 118203,1,1,Radial Velocity,2005,Haute-Provence Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,6.1335,0.0006,-0.0006,,886.7457,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5864,2.06,1.84,0.23,[Fe/H],4.08,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h34m02.39s,203.509956,+53d43m41.48s,53.7281876,92.2589,8.05,0.03,-0.03,6.543,0.023,-0.023,7.89255,0.00031,-0.00031,2017-03,9/6/2018
1298,HD 11964 b,HD 11964,1,2,Radial Velocity,2005,W. M. Keck Observatory,<a refstr=WRIGHT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1084W/abstract target=ref> Wright et al. 2009 </a>,1945,26,-26,,198,Msini,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5303,2.01,0.91,0.1,[M/H],3.79,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h57m09.22s,29.2884252,-10d14m36.49s,-10.2434693,33.5369,6.41525,0.023,-0.023,4.491,0.02,-0.02,6.209,0.0005482,-0.0005482,2009-03,1/31/2019
1302,HD 11964 c,HD 11964,1,2,Radial Velocity,2008,W. M. Keck Observatory,<a refstr=WRIGHT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1084W/abstract target=ref> Wright et al. 2009 </a>,37.91,0.041,-0.041,,25,Msini,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5303,2.01,0.91,0.1,[M/H],3.79,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h57m09.22s,29.2884252,-10d14m36.49s,-10.2434693,33.5369,6.41525,0.023,-0.023,4.491,0.02,-0.02,6.209,0.0005482,-0.0005482,2009-03,1/31/2019
1304,HD 11977 b,HD 11977,1,1,Radial Velocity,2005,La Silla Observatory,<a refstr=SETIAWAN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...437L..31S/abstract target=ref> Setiawan et al. 2005 </a>,711,8,-8,,2080,Msini,,<a refstr=SETIAWAN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...437L..31S/abstract target=ref> Setiawan et al. 2005 </a>,,4970,10.09,1.91,-0.21,[Fe/H],2.9,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h54m56.34s,28.7347403,-67d38m49.15s,-67.6469871,67.9331,4.68,0.03,-0.03,2.59,0.24,-0.24,4.43863,0.0053265,-0.0053265,2005-07,1/31/2019
1308,HD 121504 b,HD 121504,1,1,Radial Velocity,2003,La Silla Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,63.33,0.03,-0.03,,479.9233,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6027,1.07,1.62,0.15,[Fe/H],4.59,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h57m16.78s,209.3199062,-56d02m25.47s,-56.0404085,41.6592,7.54,0.03,-0.03,6.124,0.017,-0.017,7.39023,0.000202,-0.000202,2017-03,9/6/2018
1310,HD 124330 b,HD 124330,1,1,Radial Velocity,2021,Haute-Provence Observatory,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,270.66,1.21,-1.21,,238.37131,Msini,,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210509741D/abstract target=ref>Dalal et al. 2021</a>,G4 IV,5873,,1.15,0.22,[Fe/H],4.24,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h11m16.97s,212.8207093,+54d24m32.30s,54.4089731,60.1977,7.88,0.03,-0.03,6.389,0.018,-0.018,7.71674,0.000324,-0.000324,2021-05,5/28/2021
1311,HD 12484 b,HD 12484,1,1,Radial Velocity,2016,Haute-Provence Observatory,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,58.83,0.08,-0.08,,947.1334,Msini,,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,F8,5920,,1.01,0.05,[Fe/H],4.65,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h02m26.77s,30.6115322,+02d48m56.91s,2.8158078,48.3367,8.18,0.03,-0.03,6.706,0.029,-0.029,8.04463,0.001039,-0.001039,2016-04,2/25/2016
1313,HD 125595 b,HD 125595,1,1,Radial Velocity,2009,La Silla Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,9.6737,0.0039,-0.0039,,6.3566,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4691,0.74,0.29,0.08,[Fe/H],4.17,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h21m22.42s,215.3434326,-40d23m39.28s,-40.3942443,28.1989,9.03,0.03,-0.03,6.447,0.023,-0.023,8.6555,0.000477,-0.000477,2017-03,9/6/2018
