,pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_bmasse,pl_bmassprov,pl_eqt,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_pubdate,releasedate
2230,HD 4113 b,HD 4113,1,1,Radial Velocity,2007,La Silla Observatory,<a refstr=TAMUZ_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...480L..33T/abstract target=ref> Tamuz et al. 2008 </a>,526.62,0.3,-0.3,,495.79,Msini,,<a refstr=TAMUZ_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...480L..33T/abstract target=ref> Tamuz et al. 2008 </a>,G5,5688,,0.99,0.2,[Fe/H],4.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h43m12.66s,10.8027515,-37d58m59.25s,-37.9831248,41.8727,7.88,0.03,-0.03,6.289,0.021,-0.021,7.71051,0.000205,-0.000205,2008-03,12/3/2014
2231,HD 42012 b,HD 42012,1,1,Radial Velocity,2017,Haute-Provence Observatory,<a refstr=REY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A...9R/abstract target=ref>Rey et al. 2017</a>,857.5,6.2,-6.3,,508.528,Msini,,<a refstr=REY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A...9R/abstract target=ref>Rey et al. 2017</a>,K0,5405,0.82,0.83,-0.09,[Fe/H],4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h09m56.51s,92.485473,+34d08m03.02s,34.1341722,36.7984,8.44,0.03,-0.03,6.584,0.017,-0.017,8.22949,0.000309,-0.000309,2017-05,3/2/2017
2236,HD 4203 b,HD 4203,1,2,Radial Velocity,2001,W. M. Keck Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,431.88,0.85,-0.85,,708.7609,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5596,1.42,1.25,0.4,[Fe/H],4.23,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m41.33s,11.1722288,+20d26m54.21s,20.4483925,81.3795,8.7,0.03,-0.03,7.047,0.029,-0.029,8.51545,0.000163,-0.000163,2017-03,9/6/2018
2237,HD 4203 c,HD 4203,1,2,Radial Velocity,2014,W. M. Keck Observatory,<a refstr=KANE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...93K/abstract target=ref> Kane et al. 2014 </a>,6700,4500,-4500,,689.66,Msini,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5582,1.5,0.99,0.34,[M/H],4.08,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m41.33s,11.1722288,+20d26m54.21s,20.4483925,81.3795,8.7,0.03,-0.03,7.047,0.029,-0.029,8.51545,0.000163,-0.000163,2014-04,5/14/2014
2243,HD 4208 b,HD 4208,1,1,Radial Velocity,2001,W. M. Keck Observatory,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,832.97,2.15,-1.89,,257.4423,Msini,,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,,5717,0.85,0.88,-0.28,[Fe/H],4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m27.01s,11.1125532,-26d30m54.14s,-26.5150392,34.1937,7.783,0.019,-0.019,6.163,0.021,-0.021,7.61066,0.00025,-0.00025,2018-08,6/27/2019
2245,HD 42618 b,HD 42618,1,1,Radial Velocity,2016,Multiple Observatories,<a refstr=FULTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...46F/abstract target=ref>Fulton et al. 2016</a>,149.61,0.37,-0.34,,14.4,Msini,337,<a refstr=FULTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...46F/abstract target=ref>Fulton et al. 2016</a>,G4 V,5727,1,1.01,-0.09,[Fe/H],4.44,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h12m00.77s,93.0032173,+06d46m55.11s,6.7819742,24.3358,6.87,0.023,-0.023,5.301,0.02,-0.02,6.68303,0.000318,-0.000318,2016-10,10/27/2016
2248,HD 4308 b,HD 4308,1,1,Radial Velocity,2005,La Silla Observatory,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,15.56,0.02,-0.02,,15.8915,Msini,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5686,1.02,0.93,-0.35,[Fe/H],4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m39.66s,11.1652594,-65d39m09.78s,-65.6527159,22.0158,6.55,0.03,-0.03,4.945,0.02,-0.02,6.37578,0.0003427,-0.0003427,2017-03,9/6/2018
2252,HD 43197 b,HD 43197,1,1,Radial Velocity,2010,La Silla Observatory,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,327.8,1.2,-1.2,,190.69,Msini,,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,G8 V,5508,1,0.96,0.4,[Fe/H],4.31,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h13m35.84s,93.3993231,-29d53m49.89s,-29.8971929,62.4112,8.98,0.03,-0.03,7.203,0.026,-0.026,8.77158,0.000217,-0.000217,2010-11,12/3/2014
2254,HD 43691 b,HD 43691,1,1,Radial Velocity,2007,Haute-Provence Observatory,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,36.9987,0.0011,-0.0011,,810.4665,Msini,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G0,6093,1.6,1.32,0.33,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h19m34.71s,94.8946124,+41d05m31.48s,41.0920773,85.6009,8.03,0.03,-0.03,6.7,0.023,-0.023,7.8972,0.000344,-0.000344,2018-11,9/27/2018
2255,HD 44219 b,HD 44219,1,1,Radial Velocity,2010,La Silla Observatory,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,472.3,6.3,-5,,184.33,Msini,,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,G2 V,5752,1.32,1,0.03,[Fe/H],4.21,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h20m14.40s,95.0599971,-10d43m30.29s,-10.7250799,52.9051,7.69,0.03,-0.03,6.115,0.017,-0.017,7.52973,0.0003,-0.0003,2010-11,1/22/2015
